show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s000001,Movie,Title 73 346,Director_568,"Actor_570, Actor_944, Actor_525, Actor_916",Italy,2006-10-07,2003,PG,163 min,Documentaries,A compelling documentaries story about title 73 346.
s000002,Movie,Title 515 571,Director_567,"Actor_420, Actor_11, Actor_1752, Actor_147",Italy,2022-06-06,1998,TV-PG,144 min,"Horror, Animation",A compelling horror story about title 515 571.
s000003,Movie,Title 310 754,,"Actor_915, Actor_856, Actor_1120, Actor_480",Sweden,2012-12-12,2024,TV-PG,118 min,"Kids, Romance, Documentaries",A compelling kids story about title 310 754.
s000004,Movie,Title 306 198,,"Actor_1339, Actor_585, Actor_1632, Actor_973",France,2020-06-06,1991,G,171 min,Kids,A compelling kids story about title 306 198.
s000005,TV Show,Title 198 619,Director_644,"Actor_1047, Actor_1280, Actor_1874, Actor_395, Actor_1491",Australia,2012-01-03,1999,PG,11 Seasons,"Kids, Comedies",A compelling kids story about title 198 619.
s000006,Movie,Title 570 108,Director_571,"Actor_1137, Actor_1023, Actor_766, Actor_1381, Actor_969",Italy,2022-07-13,2019,G,119 min,Dramas,A compelling dramas story about title 570 108.
s000007,Movie,Title 558 548,Director_258,"Actor_1256, Actor_693, Actor_1536, Actor_933",Spain,2007-05-30,1996,R,129 min,"Horror, Kids, Romance",A compelling horror story about title 558 548.
s000008,TV Show,Title 54 926,Director_417,"Actor_551, Actor_979, Actor_1112, Actor_1183, Actor_574",Multiple,2022-10-29,1996,R,4 Seasons,"Dramas, Kids, Fantasy",A compelling dramas story about title 54 926.
s000009,Movie,Title 168 223,,"Actor_508, Actor_1822, Actor_471, Actor_824, Actor_280",Brazil,2022-04-13,2001,TV-MA,107 min,"Romance, Dramas",A compelling romance story about title 168 223.
s000010,Movie,Title 19 486,Director_792,"Actor_1622, Actor_750, Actor_1460, Actor_1909",Italy,2021-08-29,2020,TV-14,109 min,"Reality TV, Horror",A compelling reality tv story about title 19 486.
s000011,TV Show,Title 90 185,Director_725,"Actor_344, Actor_1615, Actor_530, Actor_1047, Actor_1785, Actor_1711",Canada,2011-10-14,2002,PG,4 Seasons,"Dramas, Sci-Fi, Kids",A compelling dramas story about title 90 185.
s000012,TV Show,Title 543 958,Director_353,"Actor_151, Actor_1812",Germany,2009-12-11,1999,TV-14,11 Seasons,"Family, Horror",A compelling family story about title 543 958.
s000013,Movie,Title 42 501,Director_626,"Actor_346, Actor_1365, Actor_1628, Actor_1527",Mexico,2006-03-19,2005,PG,167 min,"Romance, Sci-Fi",A compelling romance story about title 42 501.
s000014,Movie,Title 363 647,Director_299,"Actor_225, Actor_1265, Actor_1515, Actor_1044, Actor_1205, Actor_1152",Brazil,2015-05-31,2004,PG-13,86 min,"Crime, Family",A compelling crime story about title 363 647.
s000015,Movie,Title 231 252,Director_185,"Actor_257, Actor_1171, Actor_989, Actor_1944, Actor_882",Mexico,2024-01-06,2001,G,129 min,"Romance, Crime",A compelling romance story about title 231 252.
s000016,Movie,Title 494 206,Director_307,"Actor_1099, Actor_1375",Canada,2016-08-25,2005,TV-PG,132 min,"Crime, Kids",A compelling crime story about title 494 206.
s000017,Movie,Title 540 65,Director_281,"Actor_146, Actor_396, Actor_793, Actor_739, Actor_353, Actor_1887",Australia,2006-07-29,1990,TV-14,90 min,Crime,A compelling crime story about title 540 65.
s000018,Movie,Title 447 588,Director_428,"Actor_391, Actor_785",France,2021-03-07,2022,PG-13,132 min,Horror,A compelling horror story about title 447 588.
s000019,Movie,Title 409 675,Director_701,"Actor_894, Actor_1745, Actor_1116, Actor_1865, Actor_1612",Canada,2011-09-12,1997,PG,111 min,"Comedies, Documentaries, Reality TV",A compelling comedies story about title 409 675.
s000020,TV Show,Title 188 935,Director_620,"Actor_536, Actor_1195, Actor_840, Actor_12",Sweden,2008-10-09,2022,R,11 Seasons,"Animation, Kids",A compelling animation story about title 188 935.
s000021,Movie,Title 7 350,Director_498,"Actor_172, Actor_1929, Actor_274, Actor_821",Multiple,2009-09-04,2002,NR,134 min,"Horror, Fantasy, Dramas",A compelling horror story about title 7 350.
s000022,Movie,Title 517 322,Director_309,"Actor_1050, Actor_1059, Actor_772",Multiple,2022-01-25,2016,PG-13,108 min,"Romance, Comedies, Sci-Fi",A compelling romance story about title 517 322.
s000023,Movie,Title 101 495,Director_5,"Actor_639, Actor_422, Actor_736",South Korea,2021-03-04,2002,PG-13,104 min,"Sci-Fi, Thrillers",A compelling sci-fi story about title 101 495.
s000024,Movie,Title 239 843,,"Actor_1354, Actor_418, Actor_1280, Actor_354",Spain,2006-01-17,2023,PG-13,140 min,"Documentaries, Action, Sci-Fi",A compelling documentaries story about title 239 843.
s000025,TV Show,Title 465 423,Director_233,"Actor_1540, Actor_172, Actor_859",United States,2020-02-17,2000,NR,18 Seasons,"Documentaries, Animation, Dramas",A compelling documentaries story about title 465 423.
s000026,Movie,Title 433 585,Director_424,"Actor_910, Actor_1063, Actor_1679, Actor_449, Actor_94, Actor_418",South Korea,2011-06-28,1997,R,97 min,Action,A compelling action story about title 433 585.
s000027,Movie,Title 3 708,Director_794,"Actor_465, Actor_1766",Sweden,2007-03-06,1992,TV-14,93 min,Thrillers,A compelling thrillers story about title 3 708.
s000028,TV Show,Title 110 453,Director_587,"Actor_1736, Actor_528, Actor_8, Actor_1220, Actor_645, Actor_1715",Sweden,2006-11-16,2013,TV-14,5 Seasons,Horror,A compelling horror story about title 110 453.
s000029,Movie,Title 545 485,Director_771,"Actor_1746, Actor_1957, Actor_1516, Actor_1884",Japan,2012-05-17,2008,R,133 min,Action,A compelling action story about title 545 485.
s000030,Movie,Title 563 238,Director_620,"Actor_818, Actor_788, Actor_533, Actor_1864, Actor_54, Actor_1643",United States,2012-05-26,2013,TV-14,148 min,"Action, Horror, Comedies",A compelling action story about title 563 238.
s000031,Movie,Title 83 736,Director_298,"Actor_892, Actor_528",Australia,2017-05-08,2016,TV-MA,117 min,"Dramas, Fantasy, Romance",A compelling dramas story about title 83 736.
s000032,Movie,Title 528 972,Director_387,"Actor_884, Actor_1505, Actor_1507, Actor_504, Actor_1759",India,2014-06-26,1992,PG-13,165 min,Kids,A compelling kids story about title 528 972.
s000033,Movie,Title 350 858,Director_18,"Actor_76, Actor_1811, Actor_679, Actor_610, Actor_1067, Actor_763",Mexico,2020-06-09,2008,NR,160 min,"Sci-Fi, Animation, Dramas",A compelling sci-fi story about title 350 858.
s000034,Movie,Title 403 912,Director_482,"Actor_715, Actor_781, Actor_1484, Actor_889",India,2022-02-17,1994,R,122 min,"Sci-Fi, Thrillers, Romance",A compelling sci-fi story about title 403 912.
s000035,Movie,Title 27 705,Director_280,"Actor_1754, Actor_1853",Sweden,2018-01-11,2010,G,74 min,"Dramas, Kids",A compelling dramas story about title 27 705.
s000036,TV Show,Title 597 190,Director_661,"Actor_873, Actor_1423, Actor_859, Actor_611, Actor_1142, Actor_1947",Spain,2008-12-04,1993,TV-14,12 Seasons,Animation,A compelling animation story about title 597 190.
s000037,Movie,Title 259 805,Director_287,"Actor_1795, Actor_45, Actor_115, Actor_1589",India,2019-06-18,2024,R,76 min,"Romance, Kids, Thrillers",A compelling romance story about title 259 805.
s000038,Movie,Title 581 849,Director_177,"Actor_954, Actor_1018, Actor_1752, Actor_1476, Actor_1990, Actor_469",Spain,2013-09-15,2016,TV-PG,120 min,Horror,A compelling horror story about title 581 849.
s000039,TV Show,Title 379 328,Director_107,"Actor_1368, Actor_1222, Actor_4, Actor_1739, Actor_361, Actor_659",India,2019-03-02,2012,G,8 Seasons,Crime,A compelling crime story about title 379 328.
s000040,Movie,Title 482 831,Director_155,"Actor_1279, Actor_842",India,2006-05-11,1990,G,111 min,Kids,A compelling kids story about title 482 831.
s000041,TV Show,Title 305 493,Director_198,"Actor_536, Actor_1381, Actor_207, Actor_845",Netherlands,2019-01-02,1999,R,15 Seasons,"Animation, Horror, Dramas",A compelling animation story about title 305 493.
s000042,Movie,Title 432 874,Director_199,"Actor_1983, Actor_1882, Actor_1427, Actor_793, Actor_1683, Actor_1748",Netherlands,2009-07-14,2019,PG,172 min,Documentaries,A compelling documentaries story about title 432 874.
s000043,TV Show,Title 405 602,Director_453,"Actor_137, Actor_1651",Italy,2014-11-04,2002,NR,19 Seasons,"Family, Romance",A compelling family story about title 405 602.
s000044,TV Show,Title 264 713,Director_459,"Actor_279, Actor_1566, Actor_123, Actor_1624, Actor_1692, Actor_1268",Mexico,2012-07-08,1991,TV-PG,7 Seasons,"Reality TV, Documentaries",A compelling reality tv story about title 264 713.
s000045,Movie,Title 333 84,Director_660,"Actor_1537, Actor_1702",Brazil,2019-05-02,2020,R,85 min,"Sci-Fi, Family, Kids",A compelling sci-fi story about title 333 84.
s000046,Movie,Title 280 660,Director_647,"Actor_1483, Actor_1200, Actor_107, Actor_858, Actor_72, Actor_1389",Multiple,2006-08-15,2004,G,99 min,"Documentaries, Crime",A compelling documentaries story about title 280 660.
s000047,Movie,Title 310 450,Director_622,"Actor_204, Actor_1900, Actor_1691, Actor_66, Actor_1686, Actor_1713",Canada,2012-10-21,1992,PG-13,70 min,"Kids, Comedies, Animation",A compelling kids story about title 310 450.
s000048,Movie,Title 264 308,Director_214,"Actor_809, Actor_1105",United States,2009-12-22,2006,NR,152 min,Family,A compelling family story about title 264 308.
s000049,Movie,Title 72 437,Director_118,"Actor_1212, Actor_863",Australia,2010-01-08,2013,PG,151 min,Horror,A compelling horror story about title 72 437.
s000050,TV Show,Title 542 490,Director_62,"Actor_219, Actor_684, Actor_34, Actor_646",Japan,2021-01-16,1999,R,7 Seasons,"Crime, Horror, Sci-Fi",A compelling crime story about title 542 490.
